monitoredObjectSiteId,timeCaptured,availableMemoryInKb,systemCpuUsage,systemMemoryUsage,systemMemoryUsageInKb
2.0.0.101,2021-07-26 12:35:01,1095680,,,
2.0.0.102,2021-07-26 12:35:01,1130496,,,
2.0.0.103,2021-07-26 12:35:01,2417664,,,
2.0.0.104,2021-07-26 12:35:01,2465792,,,
2.0.0.105,2021-07-26 12:35:01,1129472,,,
2.0.0.106,2021-07-26 12:35:01,1129472,,,
2.0.0.107,2021-07-26 12:35:01,1129472,,,
2.0.0.108,2021-07-26 12:35:01,1129472,,,
2.0.0.109,2021-07-26 12:35:01,1128448,,,
2.0.0.110,2021-07-26 12:35:01,1130496,,,
2.0.0.111,2021-07-26 12:35:01,1081344,,,
2.0.0.112,2021-07-26 12:35:01,1122304,,,
2.0.0.113,2021-07-26 12:35:01,1087488,,,
2.0.0.114,2021-07-26 12:35:01,1128448,,,
2.0.0.115,2021-07-26 12:35:01,1163264,,,
2.0.0.116,2021-07-26 12:35:01,1163264,,,
2.0.0.117,2021-07-26 12:35:01,1156096,,,
2.0.0.118,2021-07-26 12:35:01,1161216,,,
2.0.0.119,2021-07-26 12:35:01,1002496,,,
2.0.0.120,2021-07-26 12:35:01,1156096,,,
