monitoredObjectSiteId,displayedName,timeCaptured,cpuIdle-1,cpuIdle-60,cpuIdle-300,memoryUsed,memoryAvailable
2.0.0.101,Card Slot - A,2021-07-26 14:00:00,97.69,97.72,97.72,1714603,1095680
2.0.0.102,Card Slot - A,2021-07-26 14:05:00,98.2,98.08,98.07,1712215,1130496
2.0.0.103,Card Slot - 1,2021-07-26 14:05:05,97.73,98.13,98.14,3565076,3056640
2.0.0.103,Card Slot - A,2021-07-26 14:05:05,98.4,98.34,98.33,759066,2417664
2.0.0.104,Card Slot - 1,2021-07-26 14:00:00,98.8,98.67,98.65,3548356,3072000
2.0.0.104,Card Slot - A,2021-07-26 14:00:00,98.38,98.31,98.32,738887,2465792
2.0.0.105,Card Slot - A,2021-07-26 14:05:05,98.08,97.99,98.0,1715194,1129472
2.0.0.106,Card Slot - A,2021-07-26 14:05:00,98.17,98.08,98.03,1715223,1129472
2.0.0.107,Card Slot - A,2021-07-26 14:05:06,97.45,97.65,97.68,1725985,1129472
2.0.0.108,Card Slot - A,2021-07-26 14:00:01,97.66,97.88,97.82,1723053,1129472
2.0.0.109,Card Slot - A,2021-07-26 14:05:05,97.71,97.56,97.57,1740518,1128448
2.0.0.110,Card Slot - A,2021-07-26 14:00:00,98.06,98.09,98.08,1713311,1130496
