monitoredObjectSiteId,displayedName,timeCaptured,receivedTotalOctetsPeriodic,receivedUnicastPacketsPeriodic,receivedMulticastPacketsPeriodic,receivedBroadcastPacketsPeriodic,transmittedTotalOctetsPeriodic,transmittedUnicastPacketsPeriodic,transmittedMulticastPacketsPeriodic,transmittedBroadcastPacketsPeriodic
2.0.0.101,Lag 1,2021-07-26 08:56:01,3365571,4150,719,0,3232560,2634,723,0
2.0.0.101,Lag 2,2021-07-26 08:56:01,3303142,3265,699,0,3401838,4599,724,0
2.0.0.101,Lag 9,2021-07-26 08:56:01,82870,179,803,0,102434,365,799,0
2.0.0.101,Port 1/1/c1/1,2021-07-26 08:56:01,53950,139,479,0,72112,307,476,0
2.0.0.101,Port 1/1/c2/1,2021-07-26 08:56:01,146425,1434,310,0,3264463,3638,323,0
2.0.0.101,Port 1/1/c3/1,2021-07-26 08:56:01,150309,1249,322,0,3189497,2559,323,0
2.0.0.101,Port 1/1/c4/1,2021-07-26 08:56:01,3700,0,10,0,6384,0,42,0
2.0.0.101,Port 1/1/c5/1,2021-07-26 08:56:01,67692,536,88,0,69306,531,90,0
2.0.0.101,Port 1/1/c6/1,2021-07-26 08:56:01,28850,40,323,0,30306,58,323,0
2.0.0.101,Port 1/2/c1/1,2021-07-26 08:56:01,3156607,1830,389,0,137405,960,403,0
2.0.0.101,Port 1/2/c2/1,2021-07-26 08:56:01,3215262,2901,397,0,43203,75,402,0
2.0.0.102,Lag 1,2021-07-26 08:56:01,94630,378,715,0,112748,691,724,0
2.0.0.102,Lag 2,2021-07-26 08:56:01,163948,1153,699,0,125773,664,723,0
2.0.0.102,Lag 9,2021-07-26 08:56:01,102434,365,799,0,82870,179,803,0
2.0.0.102,Port 1/1/c1/1,2021-07-26 08:56:01,72292,308,477,0,54106,139,481,0
2.0.0.102,Port 1/1/c2/1,2021-07-26 08:56:01,58594,229,389,0,70949,327,402,0
2.0.0.102,Port 1/1/c3/1,2021-07-26 08:56:01,69020,378,393,0,39910,60,401,0
2.0.0.102,Port 1/1/c4/1,2021-07-26 08:56:01,3700,0,10,0,6384,0,42,0
2.0.0.102,Port 1/1/c5/1,2021-07-26 08:56:01,19924,89,86,0,60176,446,90,0
2.0.0.102,Port 1/1/c6/1,2021-07-26 08:56:01,30306,58,323,0,28850,40,323,0
2.0.0.102,Port 1/2/c1/1,2021-07-26 08:56:01,105464,925,310,0,55074,338,323,0
2.0.0.102,Port 1/2/c2/1,2021-07-26 08:56:01,25610,0,322,0,72838,631,323,0
2.0.0.103,Lag 1,2021-07-26 08:56:01,3401978,4599,726,0,3303142,3265,699,0
2.0.0.103,Lag 2,2021-07-26 08:56:01,150978,1080,725,0,118332,680,699,0
2.0.0.103,Lag 3,2021-07-26 08:56:01,3305545,3055,725,0,3392299,4598,699,0
2.0.0.103,Lag 4,2021-07-26 08:56:01,181175,976,719,0,217611,1295,697,0
2.0.0.103,Lag 9,2021-07-26 08:56:01,100902,471,773,0,97364,426,776,0
2.0.0.103,Port 1/1/c1/1,2021-07-26 08:56:01,58360,238,463,0,58804,236,466,0
2.0.0.103,Port 1/1/c10/1,2021-07-26 08:56:01,42542,233,310,0,38560,190,310,0
2.0.0.103,Port 1/1/c11/1,2021-07-26 08:56:01,137527,962,402,0,3156607,1830,389,0
2.0.0.103,Port 1/1/c12/1,2021-07-26 08:56:01,46090,119,401,0,54650,213,390,0
2.0.0.103,Port 1/1/c13/1,2021-07-26 08:56:01,3137757,1379,401,0,131252,941,389,0
2.0.0.103,Port 1/1/c14/1,2021-07-26 08:56:01,100281,573,396,0,98715,430,387,0
2.0.0.103,Port 1/1/c2/1,2021-07-26 08:56:01,3264393,3638,322,0,146675,1437,310,0
2.0.0.103,Port 1/1/c3/1,2021-07-26 08:56:01,104818,961,323,0,63408,465,310,0
2.0.0.103,Port 1/1/c4/1,2021-07-26 08:56:01,167866,1679,322,0,3258557,3658,310,0
2.0.0.103,Port 1/1/c5/1,2021-07-26 08:56:01,81070,404,322,0,119024,864,310,0
2.0.0.103,Port 1/1/c6/1,2021-07-26 08:56:01,29358,177,88,0,22354,89,90,0
2.0.0.103,Port 1/1/c7/1,2021-07-26 08:56:01,54744,553,90,0,51180,533,89,0
2.0.0.103,Port 1/1/c8/1,2021-07-26 08:56:01,50088,590,74,0,55944,617,80,0
2.0.0.103,Port 1/1/c9/1,2021-07-26 08:56:01,10584,0,89,0,12768,0,89,0
2.0.0.104,Lag 1,2021-07-26 08:56:01,125913,664,725,0,163948,1153,699,0
2.0.0.104,Lag 2,2021-07-26 08:56:01,104123,409,724,0,116676,639,700,0
2.0.0.104,Lag 3,2021-07-26 08:56:01,162496,1000,725,0,111588,510,701,0
2.0.0.104,Lag 4,2021-07-26 08:56:01,140082,664,722,0,120793,312,697,0
2.0.0.104,Lag 9,2021-07-26 08:56:01,97364,426,776,0,100902,471,773,0
2.0.0.104,Port 1/1/c1/1,2021-07-26 08:56:01,58890,236,467,0,58360,238,463,0
2.0.0.104,Port 1/1/c10/1,2021-07-26 08:56:01,38560,190,310,0,42542,233,310,0
2.0.0.104,Port 1/1/c11/1,2021-07-26 08:56:01,55090,339,322,0,105464,925,310,0
2.0.0.104,Port 1/1/c12/1,2021-07-26 08:56:01,50554,217,323,0,63304,446,310,0
2.0.0.104,Port 1/1/c13/1,2021-07-26 08:56:01,70303,473,323,0,70534,454,309,0
2.0.0.104,Port 1/1/c14/1,2021-07-26 08:56:01,57266,179,322,0,46392,115,310,0
2.0.0.104,Port 1/1/c2/1,2021-07-26 08:56:01,70879,327,401,0,58524,229,388,0
2.0.0.104,Port 1/1/c3/1,2021-07-26 08:56:01,53819,193,403,0,53532,194,391,0
2.0.0.104,Port 1/1/c4/1,2021-07-26 08:56:01,92385,529,402,0,40980,57,390,0
2.0.0.104,Port 1/1/c5/1,2021-07-26 08:56:01,82648,484,399,0,74133,196,387,0
2.0.0.104,Port 1/1/c6/1,2021-07-26 08:56:01,29582,179,86,0,41506,269,90,0
2.0.0.104,Port 1/1/c7/1,2021-07-26 08:56:01,54310,554,88,0,52098,546,90,0
2.0.0.104,Port 1/1/c8/1,2021-07-26 08:56:01,0,0,0,0,2542,0,31,0
2.0.0.104,Port 1/1/c9/1,2021-07-26 08:56:01,10752,0,91,0,12768,0,89,0
2.0.0.105,Lag 1,2021-07-26 08:56:01,118414,680,700,0,150978,1080,725,0
2.0.0.105,Lag 2,2021-07-26 08:56:01,60062,0,726,0,60110,0,727,0
2.0.0.105,Lag 3,2021-07-26 08:56:01,114376,729,730,0,92304,417,734,0
2.0.0.105,Lag 9,2021-07-26 08:56:01,67480,0,810,0,67550,0,811,0
2.0.0.105,Port 1/1/c1/1,2021-07-26 08:56:01,42064,0,490,0,41810,0,487,0
2.0.0.105,Port 1/1/c2/1,2021-07-26 08:56:01,63482,466,310,0,104778,962,322,0
2.0.0.105,Port 1/1/c3/1,2021-07-26 08:56:01,25600,0,322,0,25600,0,322,0
2.0.0.105,Port 1/1/c4/1,2021-07-26 08:56:01,54426,358,322,0,29548,46,322,0
2.0.0.105,Port 1/1/c5/1,2021-07-26 08:56:00,29094,177,85,0,22362,89,90,0
2.0.0.105,Port 1/1/c6/1,2021-07-26 08:56:01,3710,0,10,0,6384,0,42,0
2.0.0.105,Port 1/2/c1/1,2021-07-26 08:56:01,25600,0,322,0,25600,0,322,0
2.0.0.105,Port 1/2/c2/1,2021-07-26 08:56:01,54760,214,390,0,46090,119,401,0
2.0.0.105,Port 1/2/c3/1,2021-07-26 08:56:01,34322,0,402,0,34370,0,403,0
2.0.0.105,Port 1/2/c4/1,2021-07-26 08:56:01,60064,373,407,0,62554,371,411,0
2.0.0.106,Lag 1,2021-07-26 08:56:01,116758,639,701,0,104123,409,724,0
2.0.0.106,Lag 2,2021-07-26 08:56:01,79004,178,725,0,59688,0,724,0
2.0.0.106,Lag 3,2021-07-26 08:56:01,67782,65,729,0,90448,377,732,0
2.0.0.106,Lag 9,2021-07-26 08:56:01,67550,0,811,0,67480,0,810,0
2.0.0.106,Port 1/1/c1/1,2021-07-26 08:56:01,41810,0,487,0,42064,0,490,0
2.0.0.106,Port 1/1/c2/1,2021-07-26 08:56:01,53532,194,391,0,53819,193,403,0
2.0.0.106,Port 1/1/c3/1,2021-07-26 08:56:01,43984,89,404,0,34158,0,403,0
2.0.0.106,Port 1/1/c4/1,2021-07-26 08:56:01,42356,65,409,0,62484,352,411,0
2.0.0.106,Port 1/1/c5/1,2021-07-26 08:56:00,29080,178,83,0,41332,267,91,0
2.0.0.106,Port 1/1/c6/1,2021-07-26 08:56:01,3630,0,10,0,6302,0,41,0
2.0.0.106,Port 1/2/c1/1,2021-07-26 08:56:00,25600,0,322,0,25600,0,322,0
