monitoredObjectSiteId,timeCaptured,availableMemoryInKb,systemCpuUsage,systemMemoryUsage,systemMemoryUsageInKb
2.0.0.101,2021-07-26 12:35:01,1095680,3,1755753544,1714603
2.0.0.102,2021-07-26 12:35:01,1130496,3,1753308768,1712215
2.0.0.103,2021-07-26 12:35:01,2417664,2,777064728,758852
2.0.0.104,2021-07-26 12:35:01,2465792,2,756401856,738673
2.0.0.105,2021-07-26 12:35:01,1129472,3,1756359472,1715194
2.0.0.106,2021-07-26 12:35:01,1129472,3,1756388720,1715223
2.0.0.107,2021-07-26 12:35:01,1129472,3,1767408144,1725984
2.0.0.108,2021-07-26 12:35:01,1129472,3,1764407000,1723053
2.0.0.109,2021-07-26 12:35:01,1128448,3,1782831408,1741046
2.0.0.110,2021-07-26 12:35:01,1130496,3,1754431400,1713311
2.0.0.111,2021-07-26 12:35:01,1081344,3,1779941928,1738224
2.0.0.112,2021-07-26 12:35:01,1122304,2,1759086040,1717857
2.0.0.113,2021-07-26 12:35:01,1087488,2,1760807744,1719538
2.0.0.114,2021-07-26 12:35:01,1128448,2,1750687576,1709655
2.0.0.115,2021-07-26 12:35:01,1163264,2,1745073976,1704173
2.0.0.116,2021-07-26 12:35:01,1163264,3,1745027488,1704128
2.0.0.117,2021-07-26 12:35:01,1156096,3,1753475688,1712378
2.0.0.118,2021-07-26 12:35:01,1161216,4,1749336408,1708336
2.0.0.119,2021-07-26 12:35:01,1002496,3,1810663008,1768225
2.0.0.120,2021-07-26 12:35:01,1156096,3,1755004520,1713871
